"Status","TargetFile","SourceFile","SourcePath","TargetPath"
"Copied","classic_177.mp3","05 Das ist meine Freude.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\05 Das ist meine Freude.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_177.mp3"
"Copied","classic_178.mp3","11 Bereite dich Zion from Christmas Oratorio, BWV 248.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\11 Bereite dich Zion from Christmas Oratorio, BWV 248.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_178.mp3"
"Copied","classic_179.mp3","10 Rusalka_ Song to the Moon.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\10 Rusalka_ Song to the Moon.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_179.mp3"
"Copied","classic_180.mp3","01 Piano Sonata No. 1 in F Minor, Op. 2 No. 1_ I. Allegro.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Piano Sonata No. 1 in F Minor, Op. 2 No. 1_ I. Allegro.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_180.mp3"
"Copied","classic_182.mp3","06 Träumerei, Op.15,7.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\06 Träumerei, Op.15,7.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_182.mp3"
"Copied","classic_183.mp3","83 Requiem - Lacrimosa.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\83 Requiem - Lacrimosa.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_183.mp3"
"Copied","classic_184.mp3","15 Te Deum - Eurovisionsmelodie.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\15 Te Deum - Eurovisionsmelodie.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_184.mp3"
"Copied","classic_185.mp3","20 Der Schwan - Karneval der Tiere.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\20 Der Schwan - Karneval der Tiere.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_185.mp3"
"Copied","classic_186.mp3","43 Nessun dorma - Turandot.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\43 Nessun dorma - Turandot.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_186.mp3"
"Copied","classic_187.mp3","55 Ave Maria.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\55 Ave Maria.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_187.mp3"
